LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760380193.065484,207939.000,32542,3,PI,1,100,167986
1760380193.105485,207979.000,32542,3,PI,1,100,167991
1760380193.145485,208019.000,32558,2,PI,1,100,168009
1760380193.185486,208059.000,32558,2,PI,1,100,168012
1760380193.225486,208099.000,32574,3,PI,1,100,167990
1760380193.265486,208139.000,32574,3,PI,1,100,167977
1760380193.305487,208179.000,32574,3,PI,1,100,167968
1760380193.345487,208219.000,32591,3,PI,1,100,167969
1760380193.385488,208259.000,32591,3,PI,1,100,167960
1760380193.425488,208299.000,32591,3,PI,1,100,167973
1760380193.465489,208339.000,32608,2,PI,1,100,167956
1760380193.505489,208379.000,32608,2,PI,1,100,167973
1760380193.545490,208419.000,32623,3,PI,1,100,167968
1760380193.585490,208459.000,32623,3,PI,1,100,167949
1760380193.625490,208499.000,32623,3,PI,1,100,167956
1760380193.665491,208539.000,32639,2,PI,1,100,167949
1760380193.705491,208579.000,32639,2,PI,1,100,167954
1760380193.745492,208619.000,32659,3,PI,1,100,167951
1760380193.785492,208659.000,32659,3,PI,1,100,167985
1760380193.825493,208699.000,32659,3,PI,1,100,167991
1760380193.865493,208739.000,32677,2,PI,1,100,167998
1760380193.905493,208779.000,32677,2,PI,1,100,167996
1760380193.945494,208819.000,32692,3,PI,1,100,168025
1760380193.985494,208859.000,32692,3,PI,1,100,168033
1760380194.025495,208899.000,32692,3,PI,1,100,168011
1760380194.065495,208939.000,32708,2,PI,1,100,168003
1760380194.105496,208979.000,32708,2,PI,1,100,167997
1760380194.145496,209019.000,32726,3,PI,1,100,167996
1760380194.185497,209059.000,32726,3,PI,1,100,167980
1760380194.225497,209099.000,32726,3,PI,1,100,167977
1760380194.265498,209139.000,32742,2,PI,1,100,167964
1760380194.305498,209179.000,32742,2,PI,1,100,167960
1760380194.345499,209219.000,32758,3,PI,1,100,167969
1760380194.385499,209259.000,32758,3,PI,1,100,167967
1760380194.425499,209299.000,32758,3,PI,1,100,167936
1760380194.465500,209339.000,32776,2,PI,1,100,167966
1760380194.505500,209379.000,32776,2,PI,1,100,167963
1760380194.545501,209419.000,32793,3,PI,1,100,167937
1760380194.585501,209459.000,32793,3,PI,1,100,167982
1760380194.625502,209499.000,32793,3,PI,1,100,167972
1760380194.665502,209539.000,32811,2,PI,1,100,167973
1760380194.705503,209579.000,32811,2,PI,1,100,167990
1760380194.745503,209619.000,32830,3,PI,1,100,168010
1760380194.785503,209659.000,32830,3,PI,1,100,167982
1760380194.825504,209699.000,32830,3,PI,1,100,167966
1760380194.865504,209739.000,32845,2,PI,1,100,167956
1760380194.905505,209779.000,32845,2,PI,1,100,167958
1760380194.945505,209819.000,32862,3,PI,1,100,167943
1760380194.985506,209859.000,32862,3,PI,1,100,167954
1760380195.025506,209899.000,32862,3,PI,1,100,167938
1760380195.065506,209939.000,32879,3,PI,1,100,167959
1760380195.105507,209979.000,32879,3,PI,1,100,167948
1760380195.145507,210019.000,32879,3,PI,1,100,167948
1760380195.192008,210065.500,32896,2,PI,1,100,167939
1760380195.238508,210112.000,32896,2,PI,1,100,167955
1760380195.278509,210152.000,32912,2,PI,1,100,167974
1760380195.318509,210192.000,32912,2,PI,1,100,167959
1760380195.358510,210232.000,32929,3,PI,1,100,167981
1760380195.398510,210272.000,32929,3,PI,1,100,167990
1760380195.438511,210312.000,32929,3,PI,1,100,168001
1760380195.478511,210352.000,32948,2,PI,1,100,167975
1760380195.518512,210392.000,32948,2,PI,1,100,167965
1760380195.558512,210432.000,32965,3,PI,1,100,167951
1760380195.598512,210472.000,32965,3,PI,1,100,167960
1760380195.638513,210512.000,32965,3,PI,1,100,167960
1760380195.678513,210552.000,32979,3,PI,1,100,167967
1760380195.718514,210592.000,32979,3,PI,1,100,167965
1760380195.758514,210632.000,32979,3,PI,1,100,167958
1760380195.798515,210672.000,32997,2,PI,1,100,167960
1760380195.838515,210712.000,32997,2,PI,1,100,167967
1760380195.878515,210752.000,33013,3,PI,1,100,167943
1760380195.918516,210792.000,33013,3,PI,1,100,167944
1760380195.958516,210832.000,33013,3,PI,1,100,167955
1760380195.998517,210872.000,33030,2,PI,1,100,167962
1760380196.038517,210912.000,33030,2,PI,1,100,167971
1760380196.078518,210952.000,33047,3,PI,1,100,167973
1760380196.118518,210992.000,33047,3,PI,1,100,167965
1760380196.158519,211032.000,33047,3,PI,1,100,167981
1760380196.198519,211072.000,33064,2,PI,1,100,167982
1760380196.238519,211112.000,33064,2,PI,1,100,167978
1760380196.278520,211152.000,33080,3,PI,1,100,167963
1760380196.318520,211192.000,33080,3,PI,1,100,167956
1760380196.358521,211232.000,33080,3,PI,1,100,167946
1760380196.398521,211272.000,33097,2,PI,1,100,167950
1760380196.438522,211312.000,33097,2,PI,1,100,167930
1760380196.478522,211352.000,33120,5,PI,1,100,167943
1760380196.518523,211392.000,33120,5,PI,1,100,167927
1760380196.558523,211432.000,33120,5,PI,1,100,167925
1760380196.598523,211472.000,33120,5,PI,1,100,167921
1760380196.638524,211512.000,33120,5,PI,1,100,167936
1760380196.678524,211552.000,33138,3,PI,1,100,167947
1760380196.718525,211592.000,33138,3,PI,1,100,167938
1760380196.758525,211632.000,33138,3,PI,1,100,167954
1760380196.798526,211672.000,33156,2,PI,1,100,167940
1760380196.838526,211712.000,33156,2,PI,1,100,167944
1760380196.878526,211752.000,33172,3,PI,1,100,167951
1760380196.918527,211792.000,33172,3,PI,1,100,167959
1760380196.958527,211832.000,33172,3,PI,1,100,167962
1760380196.998528,211872.000,33189,2,PI,1,100,167988
1760380197.038528,211912.000,33189,2,PI,1,100,168017
1760380197.078529,211952.000,33206,3,PI,1,100,167976
1760380197.118529,211992.000,33206,3,PI,1,100,167974
1760380197.158530,212032.000,33206,3,PI,1,100,167976
1760380197.198530,212072.000,33225,2,PI,1,100,167972
1760380197.238530,212112.000,33225,2,PI,1,100,167962
1760380197.278531,212152.000,33241,3,PI,1,100,167973
1760380197.318531,212192.000,33241,3,PI,1,100,167965
1760380197.358532,212232.000,33241,3,PI,1,100,167955
1760380197.398532,212272.000,33258,2,PI,1,100,167957
1760380197.438533,212312.000,33258,2,PI,1,100,167960
1760380197.478533,212352.000,33275,3,PI,1,100,167951
1760380197.518533,212392.000,33275,3,PI,1,100,167969
1760380197.558534,212432.000,33275,3,PI,1,100,167985
1760380197.598534,212472.000,33294,2,PI,1,100,167980
1760380197.638535,212512.000,33294,2,PI,1,100,167981
1760380197.678535,212552.000,33309,3,PI,1,100,168000
1760380197.718536,212592.000,33309,3,PI,1,100,167986
1760380197.758536,212632.000,33309,3,PI,1,100,167977
1760380197.798537,212672.000,33326,2,PI,1,100,168018
1760380197.838537,212712.000,33326,2,PI,1,100,168017
1760380197.878537,212752.000,33342,3,PI,1,100,168022
1760380197.918538,212792.000,33342,3,PI,1,100,168028
1760380197.958538,212832.000,33342,3,PI,1,100,168019
1760380197.998539,212872.000,33361,3,PI,1,100,167994
1760380198.038539,212912.000,33361,3,PI,1,100,167996
1760380198.078540,212952.000,33361,3,PI,1,100,168006
1760380198.118540,212992.000,33378,2,PI,1,100,168017
1760380198.158541,213032.000,33378,2,PI,1,100,168004
1760380198.198541,213072.000,33395,3,PI,1,100,168013
1760380198.238542,213112.000,33395,3,PI,1,100,168010
1760380198.278542,213152.000,33395,3,PI,1,100,168031
1760380198.318542,213192.000,33411,2,PI,1,100,168033
1760380198.358543,213232.000,33411,2,PI,1,100,168047
1760380198.398543,213272.000,33431,3,PI,1,100,168054
1760380198.438544,213312.000,33431,3,PI,1,100,168070
1760380198.478544,213352.000,33431,3,PI,1,100,168080
1760380198.518545,213392.000,33447,2,PI,1,100,168081
1760380198.558545,213432.000,33447,2,PI,1,100,168091
1760380198.598546,213472.000,33464,3,PI,1,100,168103
1760380198.638546,213512.000,33464,3,PI,1,100,168094
1760380198.678546,213552.000,33464,3,PI,1,100,168093
1760380198.718547,213592.000,33480,2,PI,1,100,168083
1760380198.758547,213632.000,33480,2,PI,1,100,168078
1760380198.798548,213672.000,33498,3,PI,1,100,168089
1760380198.838548,213712.000,33498,3,PI,1,100,168097
1760380198.878549,213752.000,33498,3,PI,1,100,168104
1760380198.918549,213792.000,33516,2,PI,1,100,168098
1760380198.958549,213832.000,33516,2,PI,1,100,168101
1760380198.998550,213872.000,33531,3,PI,1,100,168107
1760380199.038550,213912.000,33531,3,PI,1,100,168117
1760380199.078551,213952.000,33531,3,PI,1,100,168112
