LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760381803.813367,1108701.000,50920,2,MX,1,100,-58
1760381803.853367,1108741.000,50920,2,MX,1,100,-57
1760381803.893368,1108781.000,50936,3,MX,1,100,-59
1760381803.933368,1108821.000,50936,3,MX,1,100,-59
1760381803.973369,1108861.000,50936,3,MX,1,100,-59
1760381804.013370,1108901.000,50952,2,MX,1,100,-56
1760381804.053370,1108941.000,50952,2,MX,1,100,-53
1760381804.093370,1108981.000,50968,3,MX,1,100,-52
1760381804.133371,1109021.000,50968,3,MX,1,100,-51
1760381804.173372,1109061.000,50968,3,MX,1,100,-50
1760381804.213372,1109101.000,50985,2,MX,1,100,-50
1760381804.253372,1109141.000,50985,2,MX,1,100,-50
1760381804.293373,1109181.000,51004,3,MX,1,100,-51
1760381804.333374,1109221.000,51004,3,MX,1,100,-53
1760381804.373374,1109261.000,51004,3,MX,1,100,-53
1760381804.413374,1109301.000,51019,2,MX,1,100,-56
1760381804.453375,1109341.000,51019,2,MX,1,100,-58
1760381804.493376,1109381.000,51035,3,MX,1,100,-58
1760381804.533376,1109421.000,51035,3,MX,1,100,-59
1760381804.573376,1109461.000,51035,3,MX,1,100,-58
1760381804.613377,1109501.000,51052,2,MX,1,100,-59
1760381804.653378,1109541.000,51052,2,MX,1,100,-59
1760381804.693378,1109581.000,51071,3,MX,1,100,-59
1760381804.733379,1109621.000,51071,3,MX,1,100,-57
1760381804.773379,1109661.000,51071,3,MX,1,100,-55
1760381804.813380,1109701.000,51086,2,MX,1,100,-53
1760381804.853380,1109741.000,51086,2,MX,1,100,-51
1760381804.893381,1109781.000,51104,3,MX,1,100,-49
1760381804.933381,1109821.000,51104,3,MX,1,100,-49
1760381804.973382,1109861.000,51104,3,MX,1,100,-46
1760381805.013382,1109901.000,51122,3,MX,1,100,-46
1760381805.053383,1109941.000,51122,3,MX,1,100,-46
1760381805.093383,1109981.000,51122,3,MX,1,100,-46
1760381805.133384,1110021.000,51138,2,MX,1,100,-49
1760381805.173384,1110061.000,51138,2,MX,1,100,-52
1760381805.213385,1110101.000,51153,3,MX,1,100,-54
1760381805.253385,1110141.000,51153,3,MX,1,100,-56
1760381805.293386,1110181.000,51153,3,MX,1,100,-57
1760381805.333386,1110221.000,51172,2,MX,1,100,-57
1760381805.373387,1110261.000,51172,2,MX,1,100,-56
1760381805.413387,1110301.000,51189,3,MX,1,100,-58
1760381805.453388,1110341.000,51189,3,MX,1,100,-59
1760381805.493388,1110381.000,51189,3,MX,1,100,-56
1760381805.533389,1110421.000,51207,2,MX,1,100,-55
1760381805.573389,1110461.000,51207,2,MX,1,100,-52
1760381805.613390,1110501.000,51223,3,MX,1,100,-50
1760381805.653390,1110541.000,51223,3,MX,1,100,-49
1760381805.693391,1110581.000,51223,3,MX,1,100,-49
1760381805.733391,1110621.000,51241,2,MX,1,100,-49
1760381805.773392,1110661.000,51241,2,MX,1,100,-51
1760381805.813392,1110701.000,51258,3,MX,1,100,-51
1760381805.853393,1110741.000,51258,3,MX,1,100,-54
1760381805.893393,1110781.000,51258,3,MX,1,100,-56
