LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760386118.072383,1983888.000,64604,3,MZ,1,100,18
1760386118.112382,1983928.000,64623,2,MZ,1,100,20
1760386118.152382,1983968.000,64623,2,MZ,1,100,21
1760386118.192381,1984008.000,64640,3,MZ,1,100,19
1760386118.232381,1984048.000,64640,3,MZ,1,100,19
1760386118.272380,1984088.000,64640,3,MZ,1,100,20
1760386118.312379,1984128.000,64654,2,MZ,1,100,19
1760386118.352379,1984168.000,64654,2,MZ,1,100,19
1760386118.392378,1984208.000,64672,3,MZ,1,100,19
1760386118.432378,1984248.000,64672,3,MZ,1,100,18
1760386118.472377,1984288.000,64672,3,MZ,1,100,19
1760386118.512377,1984328.000,64690,3,MZ,1,100,18
1760386118.552376,1984368.000,64690,3,MZ,1,100,17
1760386118.592376,1984408.000,64690,3,MZ,1,100,17
1760386118.632375,1984448.000,64707,2,MZ,1,100,19
1760386118.672374,1984488.000,64707,2,MZ,1,100,19
1760386118.712374,1984528.000,64721,3,MZ,1,100,19
1760386118.752373,1984568.000,64721,3,MZ,1,100,19
1760386118.792372,1984608.000,64721,3,MZ,1,100,19
1760386118.832372,1984648.000,64739,2,MZ,1,100,19
1760386118.872371,1984688.000,64739,2,MZ,1,100,19
1760386118.912371,1984728.000,64757,3,MZ,1,100,19
1760386118.952370,1984768.000,64757,3,MZ,1,100,20
1760386118.992370,1984808.000,64757,3,MZ,1,100,19
1760386119.032369,1984848.000,64774,2,MZ,1,100,19
1760386119.072368,1984888.000,64774,2,MZ,1,100,19
1760386119.112368,1984928.000,64790,3,MZ,1,100,19
1760386119.152367,1984968.000,64790,3,MZ,1,100,20
1760386119.192367,1985008.000,64790,3,MZ,1,100,19
1760386119.232366,1985048.000,64806,2,MZ,1,100,19
1760386119.272366,1985088.000,64806,2,MZ,1,100,19
1760386119.312365,1985128.000,64824,3,MZ,1,100,18
1760386119.352364,1985168.000,64824,3,MZ,1,100,18
1760386119.392364,1985208.000,64824,3,MZ,1,100,17
